who,what,isCopy2,pub,pubnum,year,discogs_url
Jellyfish Kiss ,Stormy Weather,0,,,,http://discogs.com//Jellyfish-Kiss-Stormy-Weather/release/964644
Jerry Cole ,A Go Go Guitars,0,,,,
Jerry Jeff Walker ,Cow Jazz,0,,,,
Jerry Lee Lewis ,Original Greatest Hits Picture Disc,0,,,,http://discogs.com//Jerry-Lee-Lewis-Original-Greatest-Hits/release/3332847
Jerry Murads Harmonicats ,Harmonicha Cha Cha,0,,,,
Jerry Reed ,Ready,0,,,,
Jimi Hendrix ,At His Best Vol 3,0,,,,http://discogs.com//Jimi-Hendrix-Jimi-Hendrix-At-His-Best-Volume-3/release/2333119
Jimmy Cliff ,The Harder They Come,0,,MLPS 9202,,http://discogs.com//Jimmy-Cliff-The-Harder-They-Come/release/11750873
Joe Henderson ,Canyon Lady,0,,M-9057,,http://discogs.com//Joe-Henderson-Canyon-Lady/release/1271078
John Coltrane feat Pharoah Sanders ,Live in Seattle,0,,,,http://discogs.com//John-Coltrane-Pharoah-Sanders-John-Coltrane-featuring-Pharoah-Sanders-Live-in-Seattle/release/7538339
John Gielgud and Irene Worth ,Men and Women of Shakespeare,0,,,,
John Lennon ,Imagine,0,,,,
John Lennon,Plastic Ono Band,0,Apple,,,https://www.discogs.com/John-Lennon-Plastic-Ono-Band-John-Lennon-Plastic-Ono-Band/master/72864
John McLaughlin ,Extrapolation,0,,,,
Johnny Cash ,At Folsom Prison,0,,,,
Johnny Cash ,At Folsom Prison and San Quentin,0,,,,
Johnny Cash et al ,Old Time Religion,0,,,,
Johnny Cash ,Greatest Hits Vol 1,0,,,,
Johnny Cash ,His Greatest Hits Vol II,0,,,,
Johnny Cash ,Now There Was a Song,0,,,,http://discogs.com//Johnny-Cash-Now-There-Was-A-Song/release/2539726
Johnny Cash ,Songs of Our Soil,0,,,,
Johnny Cash ,The Walls of a Prison,0,,,,
Jonathan Winters ,The Wonderful World of Jonathan Winters,0,,,,
Jon Hassell ,Earthquake Island,0,,,,
Joni Mitchell ,Blue,0,,,,
Joni Mitchell ,Don Juans Reckless Daughter,0,,,,
Joni Mitchell ,Miles of Aisles,0,,,,
Kate Bush ,The Whole Story,0,,,,
KD Lang ,Shadowland,0,,,,
Keith Jarrett ,In the Light,0,,,,
Keith Jarrett ,Solo Concerts Bremen Lausanne,0,,,,
Keith Jarrett ,The Koln Concert,0,,,,
Kenny Baker and Joe Greene ,High Country,0,,,,http://discogs.com//Kenny-Baker-4-Joe-Greene-High-Country/release/8255513
Kenny Baker ,Grassy Fiddle Blues,0,,,,http://discogs.com//Kenny-Baker-Grassy-Fiddle-Blues/release/2999420
King Sunny Ade ,Aura,0,,90177-1,,http://discogs.com//King-Sunny-Ade-And-His-African-Beats-Aura/release/8884336
Kogan ,Shostakovich Concerto for Violin Op 99,0,,,,
Kool and the Gang ,Ladies Night,0,,,,
Kool and the Gang ,Something Special,0,,,,
Kris Kristofferson ,The Silver Tongued Devil and I,0,,,,
Lalo Schifrin ,Mission Impossible,0,,DLP 25831,,http://discogs.com//Lalo-Schifrin-Music-From-Mission-Impossible/release/5052049
Lalo Schifrin ,Piano Strings and Bossa Nova,0,,E 4110,,http://discogs.com//Lalo-Schifrin-Piano-Strings-And-Bossa-Nova/release/2269726
Lalo Schifrin ,Towering Toccata,0,,,,
Lee Harvey Oswald ,The Presidents Assasin Speaks,0,,,,
Leonard Cohen ,Songs of Leonard Cohen,0,,,,
Leonard Cohen ,Songs of Love and Hate,0,,C30103,,http://discogs.com//Leonard-Cohen-Songs-Of-Love-And-Hate/release/483725
Leonard Nimoy ,The Way I Feel,0,,DLP-25883,,http://discogs.com//Leonard-Nimoy-The-Way-I-Feel/release/6067020
Les Baxter ,The Sounds of Adventure,0,,,,
Les Brown ,Concert Modern,0,,,,
Les Brown ,the cool classics,0,,,,
Les Troubadours Du Roi Baudouin ,Missa Luba,0,,,,
Liberty College ,I Love America,0,,,,
Lillian Fuchs ,Bach Suites for Viola,0,,,,
Lillian Gish ,The Tale of the Shining Princess,0,,,,
Lily Tomlin ,This is a Recording,0,,24-4055,,http://discogs.com//Lily-Tomlin-This-Is-A-Recording/release/641439
Lionel Hampton ,Plays Drums Vibes Piano,0,,,,
Living Shakespeare ,Hamlet,0,,,,
Living Shakespeare ,Macbeth,0,,,,
London Philharmonic ,Dukas Saint-Saens Chabrier,0,,,,
Loudon Wainwright III,Unrequited,0,,,,
Louis Armstrong ,Ambassador Satch,0,,,,
Louis Armstrong ,Hello Dolly,0,,,,
Louis Armstrong ,What a Wonderful World Reissue,0,,,,
Lou Reed ,Coney Island Baby,0,,,,http://discogs.com//Lou-Reed-Coney-Island-Baby/release/2952952
Lou Reed ,I Love You Suzanne 12in,0,,,,http://discogs.com//Lou-Reed-I-Love-You-Suzanne/release/3600311
Lou Reed ,The Bells,0,,,,
Luciano Pavarotti ,The World's Favorite Tenor Arias,0,,,,
Lynrd Skynyrd ,Freebird Picture Disc,0,,,,http://discogs.com//Lynyrd-Skynyrd-Freebird/release/2105407
Mahavishnu Orchestra n John McLauchlin ,Inner Worlds,0,,,,
Mahavishnu Orchestra ,Visions of the Emerald Beyond,0,,,,
Malo ,Dos,0,,,,
Maria Callas ,Sings Great Arias from French Operas,0,,,,
Marianne Moore ,Reading Her Poems n Fables from La Fontaine,0,,,,
Mark Monte and the Continentals ,Dancing at the Habana Hilton,0,,,,
Marlo Thomas and Friends ,Free to Be You and Me,0,,,,
Maurice Evans ,Hamlet Four Excerpts,0,,,,
Meco ,Star Wars and Other Galactic Funk,0,,,,http://discogs.com//Meco-Music-Inspired-By-Star-Wars-And-Other-Galactic-Funk/release/1613111
Merle Haggard ,Its Not Love,0,,,,
Mike Di Napoli ,Music From The Silent Films-Themes Of Action Love Melodrama Comedy,0,,,,
Mike Mainieri Quartet ,Blues on the Other Side,0,Argo,LP-706,,http://discogs.com//The-Mike-Mainieri-Quartet-Blues-On-The-Other-Side/release/3657217
Miles Davis ,Greatest Hits,0,,,,
Millie Jackson ,A Moments Pleasure,0,,SP-1-6722 2391 395,,http://discogs.com//Millie-Jackson-A-Moments-Pleasure/release/1536326
Mongo Santamaria ,Stone Soul,0,,,,
Monteux London Symphony Orchestra ,Dvorak Symphony no 7,0,,,,
Mr T ,Mr Ts Commandment,0,,,,
Musique ,Keep on Jumpin,0,,,,http://discogs.com//Musique-Keep-On-Jumpin/release/125653
Nanci Griffith ,Poet in My Window,0,,,,
Nancy Sinatra ,Boots,0,,Mono R-6202,,http://discogs.com//Nancy-Sinatra-Boots/release/4871124
Nancy Sinatra ,Sugar copy2,1,,,,
Nancy Sinatra ,Sugar,0,,,,
National Opera Orchestra ,Gershwin Rhapsody in Blue,0,,,,
Nations Business Execudisc ,How to Communicate Your Ideas,1,,,,
Neil Young ,After the Gold Rush,0,,,,
Neil Young ,Decade,0,,,,
Neil Young ,Everybody Knows This is Nowhere,0,,,,
Neil Young ,Harvest,0,,,,
Neil Young ,Live Rust,0,,,,
Neil Young ,Neil Young,0,,,,
Netherlands Philharmonic ,Mozart Symphony no 40,0,,,,
Nina Simone ,Sings the Blues,0,,,,
Odetta ,Sings Folk Songs,0,,,,
Oistrakh ,Tartini Devils Trill and Mozart Sonata in B Flat Minor,0,,,,
Oistrakh ,Tartini Devils Trill Sonata in G Minor,0,,,,
Ormandy ,Rachmaninoff Symphonic Dances,0,,,,
Paco de Lucia ,Fuente y Caudal,0,,,,
Pamplemousse ,Le Spank,0,,,,
Patsy Cline ,Greatest Hits,0,,,,
Patsy Cline ,Showcase,0,,,,
Patti Smith Group ,Wave,0,,,,
Patti Smith ,Horses,0,,,,
Paul Simon ,Paul Simon,0,,,,
Period Showcase ,Boccherini Ravel Corelli Prokofieff,0,,,,
Peter Schickele ,The Wurst of PDQ Bach,0,,,,
Philips Modern Music Series ,Crumb Raxach and De Leeuw,0,,,,
Phil Ochs ,All the News thats Fit to Sing,0,,,,http://discogs.com//Phil-Ochs-All-The-News-Thats-Fit-To-Sing/release/3726754
Phil Ochs ,Pleasures of the Harbor,0,,,,
Primitivo Santos ,Super Bailables en NY,0,,,,https://www.discogs.com/Primitivo-Santos-Cantando-Nine-Santos-Willy-Contreras-Carmen-Luisa-Super-Bailables-En-NY/release/6138681
Promusica ,Dvorak Symphony no 9,0,,,,
Quincy Jones ,Gula Matari,0,,,,
Radio Canada International ,The Dream Laboratory,0,,,,
Radiola ,Lets Pretend presents Robin Hood MR1138,0,,,,
Ravi Shankar ,in New York,0,,,,
Ravi Shankar ,The Genius of Ravi Shankar,0,,,,
Ray Charles ,A Portrait of Ray,0,,,,
Ray Charles ,Ingredients in a Recipe for Soul,0,,,,
Raymond Listen ,Licorice Roots Orchestra copy2,1,,,,
Raymond Listen ,Licorice Roots Orchestra,0,,,,
Reiner ,Richard Strauss Two Tone Poems Death and Transfiguration and Till Eulenspiegel,0,,,,
REM ,Lifes Rich Pageant,0,,,,
REM ,Murmur,0,,,,http://discogs.com//REM-Murmur/release/4480150
Return to Forever ,Romantic Warrior,0,,,,
Robert Frost ,Reads the Poems of Robert Frost,0,,,,
Robin Williams ,Reality What a Concept,0,,,,http://discogs.com//Robin-Williams-Reality-What-A-Concept/release/5162141
Rodzinski ,Tchaikovsky Romeo and Juliet,0,,,,
Roy Clark ,I Never Picked Cotton,0,,,,
Rudy Macias ,Pachanga If You Please,0,,,,
Run DMC ,Raising Hell,0,,,,http://discogs.com//Run-DMC-Raising-Hell/release/230209
Sade ,Diamond Life,0,,,,
Sade ,Promise,0,,,,
Saint Paul Chamber Orchestra ,Aaron Copland Appalachian Spring,0,,,,
Sammi Smith ,Help Me Make It Through the Night,0,,,,
Sammy Davis Jr ,A Live Performance of His Greatest Hits,0,,,,
Sammy Davis n Count Basie ,Our Shining Hour,0,,,,
Santana ,Greatest Hits,0,,,,
Sarah Vaughan ,Sings and Other Jazz Stars,0,,,,
Shelly Manne ,234,0,,,,http://discogs.com//Shelly-Manne-2-3-4/release/735373
Simon and Garfunkel ,Bookends,0,,,,
Slammin Watusis ,Slammin Watusis,0,,,,http://discogs.com//Slammin-Watusis-Slammin-Watusis/release/2758195
Sly and the Family Stone ,Fresh,0,,,,
Sly and the Family Stone ,Life,0,,,,
Sonny and Cher ,In Case Youre In Love,0,,,,
Soundtrack,Amadeus,0,,,,https://www.discogs.com/Wolfgang-Amadeus-Mozart-Neville-Marriner-Academy-Of-St-Martin-In-the-Fields-Amadeus-Original-Soundtr/master/72942
Soundtrack ,Ballad of Oklahoma copy2,1,,,,
Soundtrack ,Ballad of Oklahoma,0,,,,
Soundtrack ,Henry Sweet Henry,0,,,,
Soundtrack ,Jesus Christ Superstar,0,,,,
Soundtrack ,Jesus Christ Superstar Orig Broadway Cast,0,,,,
Soundtrack ,Lady and the Tramp PictureDisc,0,,,,https://www.discogs.com/Various-Featuring-Peggy-Lee-Walt-Disneys-Lady-And-The-Tramp-Including-Songs-From-The-Motion-Picture/release/627309
Soundtrack ,Manhattan,0,,,,
Soundtrack ,Medicine Ball Caravan,0,,,,
Soundtrack ,Permanent Record,0,,,,http://discogs.com//Various-Permanent-Record-Music-From-The-Original-Motion-Picture-Soundtrack/release/1772327
Soundtrack ,Repo Man,0,,,,http://discogs.com//Various-Repo-Man-Music-From-The-Original-Motion-Picture-Soundtrack/release/431702
Soundtrack ,Something Wild,0,,,,
Soundtrack ,The Decline of Western Civilization,0,,,,http://discogs.com//Various-The-Decline-Of-Western-Civilization/release/797728
Soundtrack ,The Electric Horseman,0,,,,
Soundtrack ,The King of Comedy,0,,,,
Soundtrack ,The Sound of Music,0,,,,
Spirit ,Twelve Dreams of Dr Sardonicus,0,,,,
Spoken Arts ,Shakespeare Merchant of Venice,0,,,,
Stan Getz ,Captain Marvel,0,,,,
Stan Getz n Charlie Byrd ,Jazz Samba,0,,,,
Stan Getz n Joao Gilberto n Antonio Carlos Jobim ,Getz Gilberto,0,,,,
Stan Getz ,The Best of Two Worlds,0,,,,
Stanley Brothers ,Sweeter Than the Flowers,0,,,,
Stevie Wonder ,Looking Back,0,,,,
Stevie Wonder ,Songs in the Key of Life,0,,,,
Sugarcane Harris ,Sugarcane,0,,,,http://discogs.com//Sugarcane-Harris-Sugarcane/release/2215080
Sutherland Horned Pavarotti ,Bonynge,0,,,,
Sweet ,Give Us a Wink,0,,,,
Syd Barrett ,Barrett,0,,SHSP 4007,,http://discogs.com//Syd-Barrett-Barrett/release/670615
Taj Mahal ,Giant Step,0,,,,
Taj Mahal ,Happy Just to Be Like I Am,0,,,,
Talking Heads ,More Songs about Buildings and Food,0,,,,
Tammy Wynette ,Greatest Hits Volume II,0,,,,
The Allman Brothers Band ,Brothers and Sisters,0,,,,
The Allman Brothers Band ,Eat a Peach,0,,,,
The Band ,Stage Fright,0,,,,
The Beatles ,Abbey Road,0,,,,
The Cannonball Adderley Quintet ,Pyramid,0,,,,
The Carpenters ,Close to You,0,,,,
The Carpenters ,The Carpenters,0,,,,
The Clash ,Black Market Clash,0,,,,http://discogs.com//The-Clash-Black-Market-Clash/release/2803392
The Clash ,Give em Enough Rope,0,,,,http://discogs.com//The-Clash-Give-Em-Enough-Rope/release/7610644
The Clash ,The Clash chinese,0,,,,http://discogs.com//The-Clash-The-Clash/release/3109103
The Clash ,The Clash,0,,,,http://discogs.com//The-Clash-The-Clash/release/4387123
The Cramps ,A Date with Elvis,0,,,,
The Damned ,Damned Damned Damned,0,,,,
The David Grisman Quintet ,F-5,0,,,,
The English Beat ,Special Beat Service,0,,,,
The English Beat ,Whappen,0,,,,
The Flaming Lips ,Hear It Is,0,,,,
The Fugs ,Greatest Vol 1,0,,,,
The Highwaymen ,Highwayman,0,,,,
The Impressions ,The Young Mods Forgotten Story,0,,,,
Thelonious Monk ,Monk,0,,,,
The Mekons ,The Mekons Rock n Roll,0,,,,
The Mills Brothers ,The Mills Brothers in Motion,0,,,,
The Nitty Gritty Dirt Band ,Will the Circle Be Unbroken disc,0,,,,
The Nitty Gritty Dirt Band ,Will the Circle Be Unbroken,0,,,,
The Plastic Ono Band ,Live Peace in Toronto 1969,0,,,,
The Quintet ,VSOP,0,,,,
The Ramones ,Its Alive,0,,,,
The Ramones ,The Ramones,0,,,,
The Ramons ,End of the Century,0,,,,
The Rolling Stones ,Exile on Main Street,0,,,,
The Rolling Stones ,Greatest Hits Vol I abkco,0,,,,
The Rolling Stones ,Through the Past Darkly,0,,,,
The Selecter ,Too Much Pressure,0,,,,
The Sex Pistols ,Never Mind the Bollocks,0,,,,
The Sex Pistols ,Some Product,0,,,,
The Smiths ,Meat is Murder,0,,,,
The Smiths ,The Smiths,0,,,,
The Stills Young Band ,Long May You Run,0,,,,
The Style Council ,My Ever Changing Moods,0,,,,
The Triffids ,Field of Glass,0,,,,
The Waterboys ,A Pagan Place,0,,,,
The Waterboys ,The Waterboys,0,,,,
The Waterboys ,This is the Sea copy2,1,,,,
The Waterboys ,This is the Sea,0,,,,
Third Ear Bands ,Music from Macbeth,0,,,,
Tom Jones ,Fever Zone,0,,,,
Tom Jones ,Greatest Hits,0,,,,
Tom Jones ,Green Green Grass of Home disconly,0,,,,
Tom Lehrer ,The Year that Was,0,,,,
Tom Mulligan ,The Roaring 20s,0,,,,
Tony Bennett ,Tonys Greatest Hits Volume II,0,,,,
Traffic ,Welcome to the Canteen,0,,,,
Up with People ,People are the Energy,0,,,,
Urban Dance Squad ,Deeper Shade of Soul 12in,0,,,,
Vanguard ,The Virtuoso Trumpet,0,,,,
Various ,100 Proof Country,0,,,,
Various ,ADAM VIII Presents Disco Party,0,,,,
Various ,Arista AOR Sampler 1978,0,,,,
Various ,Best of the Big Bands,0,,,,
Various ,Big Bands of the Swinging Years,0,,,,
Various ,Bluegrass Special,0,,,,
Various ,Bongos Flutes Guitars,0,,,,
Various ,Collectus Interruptus,0,,,,
Various ,Cricket and Other Friends,0,,,,
Various ,Dance Craze The Best of British Ska Live,0,,,,
Various ,Dancing in the Streets,0,,,,
Various ,Disco Fire Disc Only,0,,,,
Various ,Discos Top 20,0,,,,
Various ,Early Victorian Poetry Argo,0,,,,
Various ,Fathers and Sons,0,,,,http://discogs.com//Muddy-Waters-Fathers-And-Sons/release/2337525
Various ,Get Off in Chicago,0,,,,https://www.discogs.com/Harvey-Mandel-Get-Off-In-Chicago/release/2459962
Various ,Gothic and Renaissance Dances MHS761,0,,,,
Various ,Heavy Mix,0,,,,
Various ,Ktel 22 Dynamic Hits TE291,0,,,,
Various ,Ktel 25 Polka Greats vol1 NC420,0,,,,
Various ,Ktel Believe in Music TU227,0,,,,
Various ,Ktel Country Express,0,,,,
Various ,Ktel Disco Nights TU2610,0,,,,
Various ,Ktel Dynamic Sound 1974 TU235,0,,,,
Various ,Ktel Dynamite 20 Original Hits TU2360,0,,,,
Various ,Ktel Hit Machine 1976,0,,,,
Various ,Ktel Mindbender TU2440,0,,,,
Various ,Ktel Music Express 20 Original Hits TU2420,0,,,,
Various ,Ktel Power Play 1980 TU2630,0,,,,
Various ,KTel Todays Super Greats TU231,0,,,,
Various ,Maxell Jazz Sampler,0,,,,
Various ,Music and Rhythm A Benefit Double LP for the WOMAD Festival,0,,,,
Various ,Music and Rhythm,0,,,,
Various ,Music and Rhythm various,0,,,,
Various ,Nashville City Limits,0,,,,
Various ,PEACE,0,,,,http://discogs.com//Various-International-PEACE-Benefit-Compilation/release/4233147
Various ,Puccini La Boheme,0,,,,
Various ,Remember How Great,0,,,,
Various ,Rockabilly Classics vol2,0,,,,
Various ,Ronco 20 Star Tracks Vol 1,0,,,,
Various ,Ronco Presents Far Out R1975-915,0,,,,
Various ,Ronco Presents Star Trackin 76,0,,,,
Various ,Singer Presents,0,,,,
Various ,TGnY Wings,0,,,,
Various ,The Best of BOMP,0,,,,
Various ,The Best of BOMP various,0,,,,
Various ,The Capitol Disc Jockey Album October 1968,0,,,,
Various ,The Folksongs of Britain The Child Ballads Vol V,0,,,,
Various ,The Good Times in Country Music,0,,,,
Various ,The New Exotic Sounds,0,,,,
Various ,The Return of the Living Dead Picturedisc,0,,,,https://www.discogs.com/Various-The-Return-Of-The-Living-Dead-Original-Motion-Picture-Soundtrack/release/2577520
Various ,The Sensational 60s,0,,,,
Various ,The Sound of Deep Ellum,0,,,,
Various ,The Streak SA243,0,,,,http://discogs.com//Various-The-Streak/release/3583755
Various ,Warner Bros All Singing All Talking All Rocking,0,,,,
Various ,Warner Bros The Big Ball,0,,,,
Various ,Warner Bros The Days of Wine and Vinyl,0,,,,
Various ,When Men were Men and Sheep were Scared,0,,,,http://discogs.com//Various-When-Men-Were-Men-And-Sheep-Were-Scared/release/1858363
Verso ,Swingin Sound,0,,,,
Violent Femmes ,Hallowed Ground,0,,,,http://discogs.com//Violent-Femmes-Hallowed-Ground/release/1346193
Violent Femmes ,The Blind Leading the Naked,0,,,,
Vox ,Tchaikovsky Paganini Violin Concerto,0,,,,
Warren Kime ,Brass Impact,0,,,,
Warren Zevon ,Bad Luck Streak in Dancing School,0,,,,
Waylon Jennings ,The Ramblin Man,0,,,,
WC Fields ,The Original Voice Tracks from His Greatest Movies,0,,,,
Weather Report ,830,0,,,,
Weather Report ,Black Market,0,,,,
Weather Report ,Heavy Weather,0,,,,
Weather Report ,Procession,0,,,,
Weather Report,Sing the Body Electric,0,,,1972,https://www.discogs.com/Weather-Report-I-Sing-The-Body-Electric/release/341538
Weather Report ,Sweetnighter,0,,,,
Weather Report ,Tale Spinnin,0,,,,
Weather Report ,Weather Report 1971,0,,,,
Weather Report ,Weather Report 1982,0,,,,
Wes Montgomery ,A Day in the Life,0,,,,
Wes Montgomery ,Greatest Hits,0,,,,
Wild Cherry ,Wild Cherry,0,,,,
Willie Nelson ,Always On My Mind,0,,,,
Willie Nelson ,Face of a Fighter,0,,,,
Willie Nelson ,Greatest Hits,0,,,,
Willie Nelson ,Live I Gotta Get Drunk,0,,,,
Willie Nelson ,Red Headed Stranger,0,,,,
Willie Nelson ,Stardust,0,,,,
Wilma Lee and Stoney Cooper ,Sunny Side of the Mountain,0,,,,
Woody Allen ,Standup Comic,0,,,,
Woody Guthrie ,The Legendary Woody Guthrie,0,,,,
Wynton Marsalis ,Hot House Flowers,0,,,,
X ,Aint Love Grand,0,,,,
X ,See How We Are,0,,,,
Zawinul ,Dialects,0,,,,
Zawinul Syndicate ,Black Water,0,,,,
